LocID,Region,yearr,PopMale,PopFemale,PopTotal,PopDensity
2036, East Asia and Pacific,1950,437,419,856,35.085
2036, East Asia and Pacific,1951,448,429,877,35.964
2036, East Asia and Pacific,1952,457,439,896,36.74
2036, East Asia and Pacific,1953,466,447,913,37.453
2036, East Asia and Pacific,1954,474,456,930,38.137
2036, East Asia and Pacific,1955,482,464,947,38.815
2036, East Asia and Pacific,1956,491,473,963,39.505
2036, East Asia and Pacific,1957,499,481,981,40.215
2036, East Asia and Pacific,1958,508,490,999,40.949
2036, East Asia and Pacific,1959,518,500,1017,41.704
2036, East Asia and Pacific,1960,527,509,1036,42.477
2036, East Asia and Pacific,1961,537,519,1055,43.27
2036, East Asia and Pacific,1962,547,529,1075,44.093
2036, East Asia and Pacific,1963,557,539,1097,44.968
2036, East Asia and Pacific,1964,569,551,1120,45.922
2036, East Asia and Pacific,1965,582,564,1146,46.973
2036, East Asia and Pacific,1966,596,578,1174,48.126
2036, East Asia and Pacific,1967,611,593,1204,49.371
2036, East Asia and Pacific,1968,628,608,1236,50.679
2036, East Asia and Pacific,1969,644,624,1268,52.011
2036, East Asia and Pacific,1970,660,640,1301,53.338
2036, East Asia and Pacific,1971,677,656,1333,54.651
2036, East Asia and Pacific,1972,693,672,1365,55.951
2036, East Asia and Pacific,1973,708,687,1396,57.222
2036, East Asia and Pacific,1974,724,702,1425,58.447
2036, East Asia and Pacific,1975,738,716,1454,59.613
2036, East Asia and Pacific,1976,752,729,1481,60.714
2036, East Asia and Pacific,1977,764,742,1506,61.754
2036, East Asia and Pacific,1978,777,754,1530,62.754
2036, East Asia and Pacific,1979,789,765,1555,63.744
2036, East Asia and Pacific,1980,802,777,1579,64.745
2036, East Asia and Pacific,1981,814,790,1604,65.759
2036, East Asia and Pacific,1982,827,802,1629,66.782
2036, East Asia and Pacific,1983,840,815,1654,67.835
2036, East Asia and Pacific,1984,853,828,1681,68.941
2036, East Asia and Pacific,1985,868,842,1710,70.111
2036, East Asia and Pacific,1986,883,857,1740,71.36
2036, East Asia and Pacific,1987,899,873,1772,72.672
2036, East Asia and Pacific,1988,916,889,1805,74.001
2036, East Asia and Pacific,1989,932,904,1836,75.285
2036, East Asia and Pacific,1990,947,918,1865,76.477
2036, East Asia and Pacific,1991,960,931,1892,77.56
2036, East Asia and Pacific,1992,972,943,1916,78.546
2036, East Asia and Pacific,1993,983,954,1938,79.456
2036, East Asia and Pacific,1994,994,965,1959,80.323
2036, East Asia and Pacific,1995,1004,975,1980,81.173
2036, East Asia and Pacific,1996,1015,985,2000,82.01
2036, East Asia and Pacific,1997,1025,995,2020,82.828
2036, East Asia and Pacific,1998,1034,1005,2039,83.624
2036, East Asia and Pacific,1999,1044,1014,2058,84.393
2036, East Asia and Pacific,2000,1053,1023,2076,85.134
2036, East Asia and Pacific,2001,1062,1032,2094,85.847
2036, East Asia and Pacific,2002,1070,1040,2110,86.537
2036, East Asia and Pacific,2003,1079,1048,2127,87.21
2036, East Asia and Pacific,2004,1087,1056,2143,87.873
2036, East Asia and Pacific,2005,1095,1064,2159,88.53
2036, East Asia and Pacific,2006,1104,1071,2175,89.183
2036, East Asia and Pacific,2007,1112,1079,2191,89.833
2036, East Asia and Pacific,2008,1120,1087,2207,90.483
2036, East Asia and Pacific,2009,1128,1094,2223,91.136
2036, East Asia and Pacific,2010,1136,1102,2239,91.796
2036, East Asia and Pacific,2011,1145,1110,2255,92.462
2036, East Asia and Pacific,2012,1153,1118,2271,93.133
2036, East Asia and Pacific,2013,1161,1127,2288,93.802
2036, East Asia and Pacific,2014,1169,1135,2304,94.461
2036, East Asia and Pacific,2015,1177,1143,2319,95.104
2036, East Asia and Pacific,2016,1184,1150,2335,95.726
2036, East Asia and Pacific,2017,1191,1158,2349,96.329
2036, East Asia and Pacific,2018,1198,1165,2363,96.907
2036, East Asia and Pacific,2019,1205,1172,2377,97.457
2036, East Asia and Pacific,2020,1211,1179,2389,97.975
2036, East Asia and Pacific,2021,1216,1185,2401,98.46
2036, East Asia and Pacific,2022,1222,1191,2412,98.909
2036, East Asia and Pacific,2023,1226,1196,2422,99.326
2036, East Asia and Pacific,2024,1231,1201,2432,99.714
2036, East Asia and Pacific,2025,1235,1206,2441,100.074
2036, East Asia and Pacific,2026,1238,1210,2449,100.407
